Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Dominican Republic,North America,10858648.0,76536,1246.0,3416.95259377494,2469.2303370786517,29.200142513583327,1520.4991138548096,29.07209714306458,281926.0,25963.0
Panama,North America,4321282.0,71418,1574.0,3416.95259377494,2469.2303370786517,29.200142513583327,1932.3507853403141,42.45018404907975,240995.0,55769.0
Belgium,Europe,11594739.0,71158,9859.0,3416.95259377494,2469.2303370786517,27.694136204166664,1520.4991138548096,42.45018404907975,174228.7332620321,37174.66849640472
Kuwait,Asia,4276658.0,70045,469.0,7012.617142857142,1161.3783948635635,27.694136204166664,1932.3507853403141,26.96968222941251,136227.99896144614,33855.74284137664
Belarus,Europe,9449001.0,68503,580.0,7012.617142857142,974.3884749613742,29.200142513583323,1685.4198167539266,61.0,174228.7332620321,37174.66849640472
UAE,Asia,9902079.0,61845,354.0,7012.617142857142,1094.8295591437154,29.200142513583323,1520.4991138548096,36.0,327839.0470588235,48010.90395480226
Romania,Europe,19224023.0,57895,2566.0,3416.95259377494,2469.2303370786517,27.694136204166664,3012.0,29.07209714306458,174228.7332620321,68631.0
Netherlands,Europe,17138756.0,56982,6153.0,3416.9525937749404,900.0553118288609,28.590305992532766,3325.0,42.45018404907975,174228.7332620321,63007.0
Singapore,Asia,5854932.0,54555,27.0,3416.95259377494,1161.3783948635635,29.200142513583323,1932.3507853403141,5.0,174228.7332620321,48010.90395480226
Guatemala,North America,17946899.0,54339,2119.0,3416.95259377494,1161.3783948635635,27.694136204166664,3028.0,29.07209714306458,172712.0,9624.0
Portugal,Europe,10193593.0,52061,1743.0,3416.95259377494,1161.3783948635635,28.590305992532766,1254.751627225775,29.07209714306458,174228.7332620321,37174.66849640472
Poland,Europe,7241599.935185998,49515,1774.0,3416.95259377494,1161.3783948635635,27.694136204166664,1308.0,47.0,327839.0470588235,62752.0
Nigeria,Africa,11567414.62566845,45244,930.0,3416.95259377494,1161.3783948635635,28.590305992532766,219.0,5.0,306894.0,1485.0
Honduras,North America,9919704.0,45098,1423.0,6116.0,2469.2303370786517,27.694136204166664,1254.751627225775,29.07209714306458,109292.0,11018.0
Bahrain,Asia,1706669.0,42889,156.0,3416.95259377494,900.0553118288609,28.590305992532766,1932.3507853403141,91.0,174228.7332620321,48010.90395480226
Japan,Asia,11567414.62566845,42263,1026.0,3416.95259377494,1161.3783948635635,27.694136204166664,334.0,8.0,174228.7332620321,7425.0
